,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
ARK/USDT,ARK/USDT,,,1.0552,0.9669,1.0211,,1.0237,,1.018152958632713,,1.0212,1.0212,,,5.07,,540062.04195238,549865.76585904,"{'currency_pair': 'ARK_USDT', 'last': '1.0212', 'lowest_ask': '1.0237', 'highest_bid': '1.0211', 'change_percentage': '5.07', 'change_utc0': '4.42', 'change_utc8': '-0.68', 'base_volume': '540062.04195238', 'quote_volume': '549865.76585904', 'high_24h': '1.0552', 'low_24h': '0.9669'}"
PYUSD/USDT,PYUSD/USDT,,,0.9999,0.988,0.9977,,0.9979,,0.9964074500104833,,0.9977,0.9977,,,0.42,,30204.07379066,30095.56414568,"{'currency_pair': 'PYUSD_USDT', 'last': '0.9977', 'lowest_ask': '0.9979', 'highest_bid': '0.9977', 'change_percentage': '0.42', 'change_utc0': '0.51', 'change_utc8': '0.03', 'base_volume': '30204.07379066', 'quote_volume': '30095.56414568', 'high_24h': '0.9999', 'low_24h': '0.988'}"
POR/USDT,POR/USDT,,,2.5411,2.44,2.4597,,2.4697,,2.490887418868843,,2.4613,2.4613,,,-0.69,,12412.02718572,30916.962359568,"{'currency_pair': 'POR_USDT', 'last': '2.4613', 'lowest_ask': '2.4697', 'highest_bid': '2.4597', 'change_percentage': '-0.69', 'change_utc0': '-0.38', 'change_utc8': '-2.71', 'base_volume': '12412.02718572', 'quote_volume': '30916.962359568', 'high_24h': '2.5411', 'low_24h': '2.44'}"
SYS/ETH,SYS/ETH,,,7.7788e-05,6.9721e-05,6.9719e-05,,7.0877e-05,,7.3812182437982e-05,,7.0286e-05,7.0286e-05,,,-9.09,,60661.20036815,4.4775355884808725,"{'currency_pair': 'SYS_ETH', 'last': '0.000070286', 'lowest_ask': '0.000070877', 'highest_bid': '0.000069719', 'change_percentage': '-9.09', 'change_utc0': '-6.55', 'change_utc8': '-3.38', 'base_volume': '60661.20036815', 'quote_volume': '4.47753558848087227', 'high_24h': '0.000077788', 'low_24h': '0.000069721'}"
LINK/ETH,LINK/ETH,,,0.005949,0.005616,0.005651,,0.005664,,0.00580067297082965,,0.005658,0.005658,,,-4.42,,1067.2642202428,6.190850715095993,"{'currency_pair': 'LINK_ETH', 'last': '0.005658', 'lowest_ask': '0.005664', 'highest_bid': '0.005651', 'change_percentage': '-4.42', 'change_utc0': '-3.82', 'change_utc8': '-1.68', 'base_volume': '1067.2642202428', 'quote_volume': '6.1908507150959929', 'high_24h': '0.005949', 'low_24h': '0.005616'}"
STX/TRY,STX/TRY,,,100.32,92.77,95.44,,95.74,,97.24729009813055,,95.4,95.4,,,-2.05,,2394.89942908,232897.47953559,"{'currency_pair': 'STX_TRY', 'last': '95.4', 'lowest_ask': '95.74', 'highest_bid': '95.44', 'change_percentage': '-2.05', 'change_utc0': '-0.79', 'change_utc8': '-2.09', 'base_volume': '2394.89942908', 'quote_volume': '232897.47953559', 'high_24h': '100.32', 'low_24h': '92.77'}"
PIXEL/TRY,PIXEL/TRY,,,17.4,15.96,16.37,,16.47,,16.91648622761476,,16.33,16.33,,,-4.61,,15198.91630191,257112.25829593,"{'currency_pair': 'PIXEL_TRY', 'last': '16.33', 'lowest_ask': '16.47', 'highest_bid': '16.37', 'change_percentage': '-4.61', 'change_utc0': '-4.22', 'change_utc8': '-1.32', 'base_volume': '15198.91630191', 'quote_volume': '257112.25829593', 'high_24h': '17.4', 'low_24h': '15.96'}"
MEAN/USDT,MEAN/USDT,,,0.03058,0.02884,0.02949,,0.02966,,0.02948304382139332,,0.02953,0.02953,,,-1.92,,1737912.5642283,51238.952288893,"{'currency_pair': 'MEAN_USDT', 'last': '0.02953', 'lowest_ask': '0.02966', 'highest_bid': '0.02949', 'change_percentage': '-1.92', 'change_utc0': '-0.2', 'change_utc8': '-1.4', 'base_volume': '1737912.5642283', 'quote_volume': '51238.952288893', 'high_24h': '0.03058', 'low_24h': '0.02884'}"
BLD/USDT,BLD/USDT,,,0.2855,0.18611,0.22322,,0.22323,,0.20682060496930896,,0.22341,0.22341,,,20.04,,451219.58616111,93321.507783842,"{'currency_pair': 'BLD_USDT', 'last': '0.22341', 'lowest_ask': '0.22323', 'highest_bid': '0.22322', 'change_percentage': '20.04', 'change_utc0': '18.41', 'change_utc8': '0.24', 'base_volume': '451219.58616111', 'quote_volume': '93321.507783842', 'high_24h': '0.2855', 'low_24h': '0.18611'}"
DIA/ETH,DIA/ETH,,,0.000184,0.00016,0.00016,,0.000162,,0.000170476291369522,,0.00016,0.00016,,,-8.57,,16585.6967556721,2.8274680726864974,"{'currency_pair': 'DIA_ETH', 'last': '0.00016', 'lowest_ask': '0.000162', 'highest_bid': '0.00016', 'change_percentage': '-8.57', 'change_utc0': '-8.57', 'change_utc8': '-4.19', 'base_volume': '16585.6967556721', 'quote_volume': '2.8274680726864973', 'high_24h': '0.000184', 'low_24h': '0.00016'}"
