,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
ETC/BTC,ETC/BTC,,,0.000538,0.00051,0.000531,,0.000533,,0.00052011,0.000532,0.000534,0.000534,,2e-06,0.3759398496240601,0.000533,1707.14146641,0.887901348094505,"{'a': ['0.00053300', '5', '5.000'], 'b': ['0.00053100', '305', '305.000'], 'c': ['0.00053400', '4.03704762'], 'v': ['1685.04146641', '1707.14146641'], 'p': ['0.00051993', '0.00052011'], 't': ['90', '95'], 'l': ['0.00051000', '0.00051000'], 'h': ['0.00053800', '0.00053800'], 'o': '0.00053200'}"
ETH2.S/ETH,ETH2.S/ETH,,,0.9995,0.9969,0.997,,0.9995,,0.99725657,0.9971,0.997,0.997,,-0.0001,-0.0100290843445993,0.99705,2.9396744,2.931609609060808,"{'a': ['0.99950000', '2', '2.000'], 'b': ['0.99700000', '7', '7.000'], 'c': ['0.99700000', '1.76397480'], 'v': ['2.36795264', '2.93967440'], 'p': ['0.99734266', '0.99725657'], 't': ['8', '10'], 'l': ['0.99700000', '0.99690000'], 'h': ['0.99950000', '0.99950000'], 'o': '0.99710000'}"
ETH/AED,ETH/AED,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.00000', '0', '0.000'], 'b': ['0.00000', '0', '0.000'], 'c': ['0.00000', '0.00000000'], 'v': ['0.00000000', '0.00000000'], 'p': ['0.00000', '0.00000'], 't': ['0', '0'], 'l': ['0.00000', '0.00000'], 'h': ['0.00000', '0.00000'], 'o': '0.00000'}"
ETH/AUD,ETH/AUD,,,5518.92,5240.09,5498.37,,5511.26,,5367.965607,5349.19,5511.24,5511.24,,162.05,3.0294306240757947,5430.215,304.70314145,1635635.9836484562,"{'a': ['5511.260000', '2', '2.000'], 'b': ['5498.370000', '6', '6.000'], 'c': ['5511.240000', '0.39183322'], 'v': ['290.96490447', '304.70314145'], 'p': ['5369.771819', '5367.965607'], 't': ['798', '872'], 'l': ['5240.090000', '5240.090000'], 'h': ['5518.920000', '5518.920000'], 'o': '5349.190000'}"
ETHBRL,ETHBRL,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.0000', '0', '0.000'], 'b': ['0.0000', '0', '0.000'], 'c': ['0.0000', '0.00000000'], 'v': ['0.00000000', '0.00000000'], 'p': ['0.0000', '0.0000'], 't': ['0', '0'], 'l': ['0.0000', '0.0000'], 'h': ['0.0000', '0.0000'], 'o': '0.0000'}"
ETH/CAD,ETH/CAD,,,4879.99,4500.25,4860.22,,4869.69,,4725.35269,4554.74,4870.35,4870.35,,315.61,6.9292648976670455,4712.545,223.3437732,1055378.0994853699,"{'a': ['4869.69000', '1', '1.000'], 'b': ['4860.22000', '1', '1.000'], 'c': ['4870.35000', '0.00774472'], 'v': ['185.19823304', '223.34377320'], 'p': ['4753.24685', '4725.35269'], 't': ['1140', '1456'], 'l': ['4500.25000', '4500.25000'], 'h': ['4879.99000', '4879.99000'], 'o': '4554.74000'}"
ETH/CHF,ETH/CHF,,,3187.55,3033.0,3174.2,,3180.23,,3108.8396,3086.47,3181.27,3181.27,,94.8,3.0714699964684575,3133.87,386.25733601,1200812.101978394,"{'a': ['3180.23000', '2', '2.000'], 'b': ['3174.20000', '1', '1.000'], 'c': ['3181.27000', '0.03985353'], 'v': ['366.90188135', '386.25733601'], 'p': ['3111.00433', '3108.83960'], 't': ['902', '1012'], 'l': ['3033.00000', '3033.00000'], 'h': ['3187.55000', '3187.55000'], 'o': '3086.47000'}"
ETH/DAI,ETH/DAI,,,3571.791,3468.023,3591.513,,3600.599,,3498.494248,3469.0,3550.978,3550.978,,81.978,2.363159411934275,3509.989,14.41072336,50415.83278447924,"{'a': ['3600.599000', '1', '1.000'], 'b': ['3591.513000', '1', '1.000'], 'c': ['3550.978000', '0.75805042'], 'v': ['11.41176547', '14.41072336'], 'p': ['3504.862591', '3498.494248'], 't': ['53', '77'], 'l': ['3469.000000', '3468.023000'], 'h': ['3571.791000', '3571.791000'], 'o': '3469.000000'}"
ETH/EUR,ETH/EUR,,,3315.0,3157.08,3306.0,,3306.01,,3241.27473,3215.91,3306.02,3306.02,,90.11,2.80200627505123,3260.965,14132.25159138,45806509.96114228,"{'a': ['3306.01000', '56', '56.000'], 'b': ['3306.00000', '1', '1.000'], 'c': ['3306.02000', '0.00756196'], 'v': ['12571.22442981', '14132.25159138'], 'p': ['3246.00462', '3241.27473'], 't': ['19972', '22412'], 'l': ['3157.08000', '3157.08000'], 'h': ['3315.00000', '3315.00000'], 'o': '3215.91000'}"
ETH/GBP,ETH/GBP,,,2838.03,2710.75,2829.54,,2830.06,,2774.76451,2756.5,2830.62,2830.62,,74.12,2.6889171050244873,2793.56,1037.31268759,2878298.4312974494,"{'a': ['2830.06000', '1', '1.000'], 'b': ['2829.54000', '7', '7.000'], 'c': ['2830.62000', '0.16421546'], 'v': ['935.38451339', '1037.31268759'], 'p': ['2778.17143', '2774.76451'], 't': ['2068', '2539'], 'l': ['2710.75000', '2710.75000'], 'h': ['2838.03000', '2838.03000'], 'o': '2756.50000'}"
ETH/JPY,ETH/JPY,,,534485.0,519660.0,539011.0,,541481.0,,529220.32724,526138.0,534485.0,534485.0,,8347.0,1.5864659081837844,530311.5,0.19028526,100702.82756614848,"{'a': ['541481.00000', '2', '2.000'], 'b': ['539011.00000', '1', '1.000'], 'c': ['534485.00000', '0.00313600'], 'v': ['0.17776743', '0.19028526'], 'p': ['529806.79358', '529220.32724'], 't': ['9', '13'], 'l': ['520119.00000', '519660.00000'], 'h': ['534485.00000', '534485.00000'], 'o': '526138.00000'}"
ETH/PYUSD,ETH/PYUSD,,,3578.34,3445.82,3590.43,,3649.99,,3507.456,3504.71,3562.87,3562.87,,58.16,1.6594810982934394,3533.79,86.90556695,304817.4522321792,"{'a': ['3649.99000', '1', '1.000'], 'b': ['3590.43000', '6', '6.000'], 'c': ['3562.87000', '0.01429955'], 'v': ['85.86067470', '86.90556695'], 'p': ['3507.77935', '3507.45600'], 't': ['28408', '28916'], 'l': ['3445.82000', '3445.82000'], 'h': ['3578.34000', '3578.34000'], 'o': '3504.71000'}"
